,City ID,City,Country Code,Latitude,Longitude,Temp Kelvin,Temp C,Temp F,Humidity (RH)%,Cloud% Cover,wind speed (m/s),wind speed (mph),Time stamp
524,423549,Rumonge,BI,-3.97,29.44,295.12,22.0,72.0,72,37,1.51,3.36,['22 Nov 2020 21:55:58']
525,2212775,Sabha,LY,27.04,14.43,287.93,15.0,59.0,37,0,6.64,14.76,['22 Nov 2020 21:55:58']
526,5546220,Saint George,US,37.1,-113.58,284.36,11.0,52.0,25,1,0.48,1.07,['22 Nov 2020 21:55:58']
527,4171522,St. Pete Beach,US,27.73,-82.74,294.39,21.0,70.0,94,1,2.6,5.78,['22 Nov 2020 21:55:58']
528,3579925,St. George's,GD,12.06,-61.75,300.15,27.0,81.0,78,20,7.7,17.11,['22 Nov 2020 21:55:58']
529,6690296,Saint-Joseph,RE,-21.37,55.62,297.15,24.0,75.0,69,88,4.6,10.22,['22 Nov 2020 21:55:58']
530,6690297,Saint-Leu,RE,-21.15,55.28,295.03,22.0,71.0,69,82,4.6,10.22,['22 Nov 2020 21:55:58']
531,935215,Saint-Philippe,RE,-21.36,55.77,295.37,22.0,72.0,69,96,4.6,10.22,['22 Nov 2020 21:55:58']
532,6137947,Sainte-Julienne,CA,45.97,-73.72,271.43,-2.0,29.0,99,100,2.1,4.67,['22 Nov 2020 21:55:58']
533,935248,Sainte-Suzanne,RE,-20.91,55.61,294.59,22.0,71.0,64,40,5.7,12.67,['22 Nov 2020 21:55:58']
534,102527,Sakakah,SA,29.97,40.21,283.15,10.0,50.0,81,0,1.24,2.76,['22 Nov 2020 21:55:58']
535,286621,Salalah,OM,17.02,54.09,300.15,27.0,81.0,65,0,1.5,3.33,['22 Nov 2020 21:55:58']
